Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NR_046643	chrX	3577478	3582528	+	250.0	1	PRKX-AS1|-|-|Xp22.33|ncRNA	1.137	0.105	1.476
NM_198314	chr3	183817917	183822967	+	250.0	1	HTR3E|5-HT3-E|5-HT3E|5-HT3c1|-|3q27.1|protein-coding	1.000	0.000	0.000
NR_030182	chr19	54177401	54182451	+	250.0	1	MIR498|MIRN498|hsa-mir-498|mir-498|-|19q13.42|ncRNA	1.000	0.000	0.000
NM_001143989	chr1	108781703	108786753	-	250.0	1	NBPF4|-|-|1p13.3|protein-coding	1.000	0.000	0.000
NR_134597	chr6	155835928	155840978	+	250.0	1	LOC105378068|-|-|6q25.3|ncRNA	1.000	0.000	0.000
NR_027288	chr11	122888224	122893274	+	250.0	1	LOC341056|-|-|11q24.1|pseudo	0.585	0.000	1.792
NM_020147	chr15	71179772	71184822	-	250.0	1	THAP10|-|-|15q23|protein-coding	1.626	0.422	4.006
NM_004000	chr1	111770285	111775335	+	250.0	1	CHI3L2|CHIL2|YKL-39|YKL39|-|1p13.2|protein-coding	1.000	0.000	0.000
NM_014467	chrX	99899146	99904196	+	250.0	1	SRPX2|BPP|CBPS|PMGX|RESDX|SRPUL|-|Xq22.1|protein-coding	0.960	0.000	0.105
NM_001363227	chr8	42995557	43000607	+	250.0	1	HGSNAT|HGNAT|MPS3C|RP73|TMEM76|-|8p11.21-p11.1|protein-coding	2.556	0.949	5.587
NM_001252	chr19	6586161	6591211	-	250.0	1	CD70|CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A|-|19p13.3|protein-coding	1.967	0.527	3.901
NM_006738	chr15	85923784	85928834	+	250.0	1	AKAP13|AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47|-|15q25.3|protein-coding	8.368	3.268	5.271
NM_004096	chr10	72163851	72168901	+	250.0	1	EIF4EBP2|4EBP2|PHASII|-|10q22.1|protein-coding	3.007	1.370	7.063
NM_001258311	chr1	230557078	230562128	-	250.0	1	PGBD5|-|-|1q42.13|protein-coding	1.785	0.633	5.693
NR_040093	chr5	110847874	110852924	+	250.0	1	STARD4-AS1|-|-|5q22.1|ncRNA	2.016	0.422	2.741
NM_001324458	chr16	30383565	30388615	+	250.0	1	MYLPF|HUMMLC2B|MLC2B|MRLC2|MYL11|-|16p11.2|protein-coding	1.271	0.105	1.054
NM_017645	chr9	19097902	19102952	-	250.0	1	HAUS6|Dgt6|FAM29A|-|9p22.1|protein-coding	4.475	4.217	16.129
NR_126166	chr9	43610527	43615577	-	250.0	1	FAM74A7|-|-|9p11.2-p11.1|ncRNA	1.000	0.000	0.000
NR_002911	chr20	37051086	37056136	-	250.0	1	SNORA71A|RNU71A|U71a|-|20q11.23|snoRNA	9.778	96.776	187.754
NM_001171976	chr5	175969462	175974512	+	250.0	1	CDHR2|PCDH24|PCLKC|-|5q35.2|protein-coding	2.227	1.054	7.696
NM_000463	chr2	234668869	234673919	+	250.0	1	UGT1A1|BILIQTL1|GNT1|HUG-BR1|UDPGT|UDPGT 1-1|UGT1|UGT1A|-|2q37.1|protein-coding	1.000	0.000	0.000
NM_001195576	chrX	111119229	111124279	+	250.0	1	TRPC5OS|TRPC5-AS1|-|Xq23|protein-coding	1.000	0.000	0.000
NM_004582	chr1	76251891	76256941	+	250.0	1	RABGGTB|GGTB|-|1p31.1|protein-coding	0.804	11.175	267.347
NM_001409	chr1	3523072	3528122	-	250.0	1	MEGF6|EGFL3|-|1p36.32|protein-coding	4.640	0.633	0.633
NM_005763	chr7	121779303	121784353	-	250.0	1	AASS|LKR/SDH|LKRSDH|LORSDH|-|7q31.32|protein-coding	1.360	0.316	3.795
NM_001270629	chr13	48664277	48669327	-	250.0	1	MED4|ARC36|DRIP36|HSPC126|TRAP36|VDRIP|-|13q14.2|protein-coding	4.040	2.108	8.117
NR_003019	chr1	203698659	203703709	+	250.0	1	SNORA77|ACA63|SNORA77A|-|1q32.1|snoRNA	16.046	2.952	1.160
NR_024065	chr3	8613418	8618468	+	250.0	1	LINC00312|ERR-10|ERR10|LMCD1DN|LOH3CR2A|NAG-7|NAG7|NCRNA00312|-|3p25.3|ncRNA	1.000	0.000	0.000
NM_001318043	chr20	18568648	18573698	+	250.0	1	DTD1|C20orf88|DTD|DUE-B|DUEB|HARS2|pqn-68|-|20p11.23|protein-coding	6.523	1.265	1.581
NM_153358	chr19	12721684	12726734	+	250.0	1	ZNF791|-|-|19p13.13|protein-coding	6.943	2.003	3.373
NM_207319	chrX	27476458	27481508	-	250.0	1	PPP4R3C|FLFL3P|PPP4R3CP|SMEK3P|smk1|-|Xp21.3|protein-coding	1.000	0.000	0.000
NM_020990	chr15	43885005	43890055	+	250.0	1	CKMT1B|CKMT|CKMT1|UMTCK|-|15q15.3|protein-coding	0.750	0.000	0.843
NR_003338	chr15	25339133	25344183	+	250.0	1	SNORD116-24|HBII-85-24|-|15q11.2|snoRNA	1.000	0.000	0.000
NM_003809	chr17	7452325	7457375	+	250.0	1	TNFSF12|APO3L|DR3LG|TNLG4A|TWEAK|-|17p13.1|protein-coding	0.774	0.000	0.738
NM_004734	chr13	36700519	36705569	-	250.0	1	DCLK1|CL1|CLICK1|DCAMKL1|DCDC3A|DCLK|-|13q13.3|protein-coding	11.712	1.476	0.105
NR_106774	chr14	21486545	21491595	-	250.0	1	MIR6717|hsa-mir-6717|-|14q11.2|ncRNA	1.600	0.422	4.111
NM_001194	chr19	589831	594881	+	250.0	1	HCN2|BCNG-2|BCNG2|HAC-1|-|19p13.3|protein-coding	2.100	0.422	2.530
NM_001365940	chr3	139253478	139258528	-	250.0	1	RBP1|CRABP-I|CRBP|CRBP1|CRBPI|RBPC|-|3q23|protein-coding	5.788	0.949	1.054
NM_032775	chr22	20845082	20850132	-	250.0	1	KLHL22|KELCHL|-|22q11.21|protein-coding	1.251	1.160	17.289
NM_013283	chr5	162932575	162937625	+	250.0	1	MAT2B|MAT-II|MATIIbeta|Nbla02999|SDR23E1|TGR|-|5q34|protein-coding	8.892	2.846	3.901
NM_001001821	chr1	248733058	248738108	-	250.0	1	OR2T34|-|-|1q44|protein-coding	1.000	0.000	0.000
NM_015250	chr9	95522115	95527165	-	250.0	1	BICD2|SMALED2|SMALED2A|SMALED2B|bA526D8.1|-|9q22.31|protein-coding	4.024	1.370	4.639
NR_051980	chr13	33067629	33072679	-	250.0	1	MICOS10P1|CG012|MINOS1P1|N4BP2L2-IT|N4BP2L2-IT1|N4BP2L2IT1|-|13q13.1|pseudo	1.095	0.211	3.479
NR_037644	chr10	104613917	104618967	+	250.0	1	BORCS7-ASMT|C10orf32-AS3MT|C10orf32-ASMT|-|10q24.32|ncRNA	7.200	2.003	3.163
NM_004622	chr2	122513177	122518227	+	250.0	1	TSN|BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN|-|2q14.3|protein-coding	5.860	2.636	6.536
NM_182610	chr3	169629310	169634360	+	250.0	1	SAMD7|-|-|3q26.2|protein-coding	1.000	0.000	0.000
NM_080386	chr2	132233642	132238692	+	250.0	1	TUBA3D|H2-ALPHA|KTCN9|TUBA2|-|2q21.1|protein-coding	0.480	0.000	2.741
NR_027780	chr22	35653436	35658486	+	250.0	1	HMGXB4|HMG2L1|HMGBCG|THC211630|-|22q12.3|protein-coding	3.812	2.003	8.223
NM_003713	chr1	57040236	57045286	-	250.0	1	PLPP3|Dri42|LPP3|PAP2B|PPAP2B|VCIP|-|1p32.2|protein-coding	5.520	1.687	3.795
NR_135286	chr14	38366329	38371379	-	250.0	1	LINC00517|C14orf26|-|14q21.1|ncRNA	1.000	0.000	0.000
NM_032257	chr1	42916693	42921743	-	250.0	1	ZMYND12|-|-|1p34.2|protein-coding	2.914	0.316	0.422
NM_003109	chr12	53774378	53779428	+	250.0	1	SP1|-|-|12q13.13|protein-coding	0.413	0.211	13.388
NR_026880	chr17	14207007	14212057	+	250.0	1	MGC12916|-|-|17p12|ncRNA	1.400	0.422	5.060
NR_106761	chr16	15699952	15705002	-	250.0	1	MIR6506|hsa-mir-6506|-|16p13.11|ncRNA	1.200	0.105	1.265
NR_038923	chr11	65332884	65337934	-	250.0	1	SSSCA1-AS1|-|-|11q13.1|ncRNA	3.900	1.581	5.904
NM_018042	chr17	33754519	33759569	-	250.0	1	SLFN12|SLFN3|-|17q12|protein-coding	1.000	0.000	0.000
NR_039721	chr13	21002985	21008035	-	250.0	1	MIR4499|-|-|13q12.11|ncRNA	0.706	0.000	1.054
NM_152990	chr6	36405631	36410681	-	250.0	1	PXT1|STEPP|-|6p21.31|protein-coding	7.617	1.792	2.319
NM_174924	chr16	20411059	20416109	-	250.0	1	PDILT|PDIA7|-|16p12.3|protein-coding	1.000	0.000	0.000
NR_046834	chr7	5715092	5720142	-	250.0	1	RNF216-IT1|-|-|7p22.1|ncRNA	3.541	1.054	3.901
NM_001080518	chr10	90484251	90489301	+	250.0	1	LIPK|LIPL2|bA186O14.2|-|10q23.31|protein-coding	1.000	0.000	0.000
NM_021601	chr19	42381299	42386349	+	250.0	1	CD79A|IGA|MB-1|-|19q13.2|protein-coding	1.728	0.105	0.105
NR_038440	chr12	114845950	114851000	+	250.0	1	TBX5-AS1|-|-|12q24.21|ncRNA	1.000	0.000	0.000
NR_045211	chr9	124257306	124262356	-	250.0	1	GGTA1P|GGTA|GGTA1|GLYT2|a1/3GTP|-|9q33.2|pseudo	0.800	0.000	0.633
NM_152672	chr3	195943355	195948405	+	250.0	1	SLC51A|OSTA|OSTalpha|-|3q29|protein-coding	1.000	0.000	0.000
NM_001159323	chr19	48609109	48614159	-	250.0	1	PLA2G4C|CPLA2-gamma|-|19q13.33|protein-coding	2.520	0.422	1.687
NM_021008	chr11	690754	695804	-	250.0	1	DEAF1|MRD24|NUDR|SPN|ZMYND5|-|11p15.5|protein-coding	1.763	1.581	16.129
NM_005232	chr7	143100949	143105999	-	250.0	1	EPHA1|EPH|EPHT|EPHT1|-|7q34-q35|protein-coding	0.960	0.000	0.105
NM_003870	chr15	90931424	90936474	+	250.0	1	IQGAP1|HUMORFA01|SAR1|p195|-|15q26.1|protein-coding	8.042	3.268	5.587
NM_005286	chr20	62733184	62738234	-	250.0	1	NPBWR2|GPR8|-|20q13.33|protein-coding	0.453	0.000	3.057
NM_002345	chr12	91500271	91505321	-	250.0	1	LUM|LDC|SLRR2D|-|12q21.33|protein-coding	1.000	0.000	0.000
NR_031659	chr2	180720635	180725685	-	250.0	1	MIR1258|MIRN1258|hsa-mir-1258|mir-1258|-|2q31.3|ncRNA	0.727	0.000	0.949
NM_012072	chr20	23061961	23067011	-	250.0	1	CD93|C1QR1|C1qR(P)|C1qRP|CDw93|ECSM3|MXRA4|dJ737E23.1|-|20p11.21|protein-coding	1.000	0.000	0.000
NR_037480	chr1	247360362	247365412	-	250.0	1	MIR3916|mir-3916|-|1q44|ncRNA	1.774	0.316	2.319
NR_038968	chrX	39181616	39186666	-	250.0	1	LINC01281|-|-|Xp11.4|ncRNA	1.000	0.000	0.000
NM_032184	chr1	85661699	85666749	-	250.0	1	SYDE2|-|-|1p22.3|protein-coding	1.626	0.422	4.006
NM_001195597	chr6	131148495	131153545	+	250.0	1	SMLR1|-|-|6q23.1|protein-coding	0.649	0.000	1.370
NR_002326	chr16	2008107	2013157	-	250.0	1	SNORA64|RNU64|U64|-|16p13.3|snoRNA	39.683	417.993	199.772
NM_020703	chr1	110047349	110052399	-	250.0	1	AMIGO1|ALI2|AMIGO|AMIGO-1|-|1p13.3|protein-coding	1.996	0.843	6.852
NM_001026213	chr8	143956236	143961286	-	250.0	1	CYP11B1|CPN1|CYP11B|FHI|P450C11|-|8q24.3|protein-coding	1.000	0.000	0.000
NR_030197	chr19	54209456	54214506	+	250.0	1	MIR526A1|MIRN526A-1|MIRN526A1|-|19q13.42|ncRNA	1.000	0.000	0.000
NM_001256916	chr11	59856087	59861137	+	250.0	1	MS4A2|APY|ATOPY|FCER1B|FCERI|IGEL|IGER|IGHER|MS4A1|-|11q12.1|protein-coding	1.000	0.000	0.000
NM_022475	chr4	145567258	145572308	+	250.0	1	HHIP|HIP|-|4q31.21|protein-coding	1.600	0.105	0.316
NM_001244701	chr14	69257960	69263010	-	250.0	1	ZFP36L1|BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1|-|14q24.1|protein-coding	1.188	0.527	8.117
NR_134582	chr22	43671898	43676948	+	250.0	1	LOC101927447|-|-|22q13.2|ncRNA	0.727	0.000	0.949
NR_110811	chr1	167160042	167165092	-	250.0	1	LINC01363|RBSG4|-|1q24.1|ncRNA	1.000	0.000	0.000
NR_003505	chr20	56879495	56884545	-	250.0	1	PPP4R1L|C20orf192|PPP4R1P1|PRO1085|-|20q13.32|pseudo	2.344	0.422	2.003
NM_001330701	chr9	88351944	88356994	-	250.0	1	AGTPBP1|CCP1|CONDCA|NNA1|-|9q21.33|protein-coding	2.514	0.738	4.111
NR_102751	chr15	52472173	52477223	+	250.0	1	CERNA1|-|-|15q21.2|ncRNA	5.156	0.633	0.316
NM_013351	chr17	45810552	45815602	+	250.0	1	TBX21|T-PET|T-bet|TBET|TBLYM|-|17q21.32|protein-coding	2.600	0.211	0.000
NR_125428	chr8	138420831	138425881	-	250.0	1	LOC101927915|-|-|8q24.23|ncRNA	1.000	0.000	0.000
NR_036195	chr15	42153749	42158799	-	250.0	1	MIR4310|-|-|15q15.1|ncRNA	1.000	0.000	0.000
NM_001005189	chr1	158512895	158517945	-	250.0	1	OR6Y1|OR1-11|OR6Y2|-|1q23.1|protein-coding	1.000	0.000	0.000
NM_032884	chr1	34632544	34637594	+	250.0	1	C1orf94|-|-|1p35.1|protein-coding	1.000	0.000	0.000
NM_001005502	chr12	69321979	69327029	-	250.0	1	CPM|-|-|12q15|protein-coding	1.543	0.105	0.422
NR_146322	chr21	16285989	16291039	-	250.0	1	LINC02246|-|-|21q11.2|ncRNA	0.960	0.000	0.105
NM_018109	chr10	30633267	30638317	-	250.0	1	MTPAP|PAPD1|SPAX4|TENT6|-|10p11.23|protein-coding	3.028	0.949	4.322
NR_106885	chr3	134081704	134086754	-	250.0	1	MIR6827|hsa-mir-6827|-|3q22.2|ncRNA	2.667	0.527	2.214
NM_001367916	chrX	77145932	77150982	-	250.0	1	MAGT1|IAP|MRX95|OST3B|PRO0756|SLC58A1|XMEN|bA217H1.1|-|Xq21.1|protein-coding	33.517	10.542	3.584
NM_022451	chr10	96117696	96122746	-	250.0	1	NOC3L|AD24|C10orf117|FAD24|-|10q23.33|protein-coding	4.098	2.636	10.437
NM_013375	chr6	26597131	26602181	+	250.0	1	ABT1|Esf2|hABT1|-|6p22.2|protein-coding	4.304	4.217	16.867
NM_016252	chr2	32582046	32587096	+	250.0	1	BIRC6|APOLLON|BRUCE|-|2p22.3|protein-coding	3.449	2.425	11.702
NM_020672	chr1	153583801	153588851	-	250.0	1	S100A14|BCMP84|S100A15|-|1q21.3|protein-coding	0.960	0.000	0.105
NR_134622	chr6	169430738	169435788	-	250.0	1	LOC101929460|-|-|6q27|ncRNA	1.000	0.000	0.000
NM_001145665	chr19	35225098	35230148	+	250.0	1	ZNF181|HHZ181|-|19q13.11|protein-coding	4.278	0.949	2.319
NM_001130823	chr19	10300629	10305679	-	250.0	1	DNMT1|ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT|m.HsaI|-|19p13.2|protein-coding	4.482	3.584	13.388
NM_018713	chr1	220096993	220102043	-	250.0	1	SLC30A10|HMDPC|HMNDYT1|ZNT10|ZNT8|ZRC1|ZnT-10|-|1q41|protein-coding	0.649	0.000	1.370
NR_003301	chr15	25423838	25428888	+	250.0	3	SNORD115-9|HBII-52-9|-|15q11.2|snoRNA	1.000	0.000	0.000
NR_162142	chr16	85241352	85246402	+	250.0	1	MIR12128|-|-|16q24.1|ncRNA	1.276	0.422	5.798
NM_001005326	chr15	102345873	102350923	+	250.0	1	OR4F6|OR15-15|OR4F12|-|15q26.3|protein-coding	0.960	0.000	0.105
NR_003664	chr7	74936483	74941533	-	250.0	3	SPDYE8P|-|-|7q11.23|pseudo	1.490	0.105	0.527
NM_001362931	chr8	75262588	75267638	+	250.0	1	GDAP1|CMT4|CMT4A|CMTRIA|-|8q21.11|protein-coding	6.673	1.370	1.792
NM_031907	chrX	132157300	132162350	-	250.0	1	USP26|-|-|Xq26.2|protein-coding	1.000	0.000	0.000
NM_018841	chr1	68294150	68299200	-	250.0	1	GNG12|-|-|1p31.3|protein-coding	3.661	1.054	3.690
NR_047557	chr10	44139270	44144320	+	250.0	1	ZNF32-AS1|ZNF32OS1|bA402L1.8|-|10q11.21|ncRNA	0.375	0.000	4.217
NM_006014	chrX	153702596	153707646	-	250.0	1	LAGE3|CVG5|DXS9879E|DXS9951E|ESO3|GAMOS2|ITBA2|Pcc1|-|Xq28|protein-coding	1.064	1.054	18.870
NM_004163	chr18	52495658	52500708	+	250.0	1	RAB27B|C25KG|-|18q21.2|protein-coding	1.728	0.105	0.105
NM_002509	chr20	21489702	21494752	-	250.0	1	NKX2-2|NKX2.2|NKX2B|-|20p11.22|protein-coding	1.168	0.105	1.370
NR_001282	chr5	140619639	140624689	+	250.0	1	PCDHB19P|PCDH-PSI5|PCDHB19|-|5q31.3|pseudo	0.923	0.000	0.211
NM_014692	chr16	5008281	5013331	+	250.0	1	SEC14L5|PRELID4B|-|16p13.3|protein-coding	2.311	0.211	0.316
NM_001278657	chr22	43005968	43011018	-	250.0	1	POLDIP3|PDIP3|PDIP46|SKAR|-|22q13.2|protein-coding	9.411	3.795	5.482
NM_001195257	chr8	11924256	11929306	-	250.0	2	DEFB130B|-|-|8p23.1|protein-coding	1.000	0.000	0.000
NR_038464	chr10	81967416	81972466	+	250.0	1	LINC00857|-|-|10q22.3|ncRNA	2.724	0.422	1.370
NR_130715	chr3	126272775	126277825	-	250.0	1	C3orf22|-|-|3q21.3|protein-coding	0.923	0.000	0.211
NM_145267	chr6	71276583	71281633	+	250.0	1	SDHAF4|C6orf57|Sdh8|-|6q13|protein-coding	4.522	1.581	4.744
NR_103732	chr2	98089824	98094874	+	250.0	2	LOC100506076|-|-|2q11.2|ncRNA	0.960	0.000	0.105
NM_001202513	chr2	70142191	70147241	+	250.0	1	MXD1|BHLHC58|MAD|MAD1|-|2p13.3|protein-coding	7.508	1.476	1.581
NM_032962	chr17	34308764	34313814	-	250.0	1	CCL14|CC-1|CC-3|CKB1|HCC-1|HCC-1(1-74)|HCC-1/HCC-3|HCC-3|MCIF|NCC-2|NCC2|SCYA14|SCYL2|SY14|-|17q12|protein-coding	0.960	0.000	0.105
NR_039804	chr8	8905905	8910955	+	250.0	1	MIR4660|-|-|8p23.1|ncRNA	0.800	0.000	0.633
NR_107062	chr1	12436	17486	-	250.0	3	MIR6859-2|hsa-mir-6859-2|-|1p36.33|ncRNA	0.649	0.000	1.370
NM_001363953	chr3	133609691	133614741	-	250.0	1	RAB6B|-|-|3q22.1|protein-coding	1.642	0.211	1.476
NM_001010922	chr1	114425203	114430253	-	250.0	1	BCL2L15|Bfk|C1orf178|-|1p13.2|protein-coding	1.490	0.105	0.527
NR_103786	chr2	45164017	45169067	-	250.0	1	SIX3-AS1|SIX3OS|-|2p21|ncRNA	0.750	0.000	0.843
NM_015245	chr6	34856982	34862032	+	250.0	1	ANKS1A|ANKS1|-|6p21.31|protein-coding	2.089	0.843	6.431
NM_139320	chr15	30680864	30685914	-	250.0	1	CHRFAM7A|CHRNA7|CHRNA7-DR1|D-10|NACHRA7|-|15q13.2|protein-coding	0.960	0.000	0.105
NR_110743	chr18	52786537	52791587	-	250.0	1	LINC01929|-|-|18q21.2|ncRNA	1.000	0.000	0.000
NM_017754	chr6	34759810	34764860	+	250.0	1	UHRF1BP1|C6orf107|ICBP90|dJ349A12.1|-|6p21.31|protein-coding	8.640	2.952	4.322
NR_002907	chr1	28833827	28838877	+	250.0	1	SNORA73A|E1|E1-7|E1b|RNE1|RNU17A|U17A|-|1p35.3|snoRNA	22.152	827.446	714.752
NR_028067	chr15	22413412	22418462	+	250.0	1	OR4N3P|OR15-2|-|15q11.2|pseudo	1.000	0.000	0.000
NM_004863	chr14	78078110	78083160	-	250.0	1	SPTLC2|HSN1C|LCB2|LCB2A|NSAN1C|SPT2|hLCB2a|-|14q24.3|protein-coding	5.652	1.792	4.006
NM_001010867	chr1	228353455	228358505	+	250.0	1	IBA57|C1orf69|MMDS3|SPG74|-|1q42.13|protein-coding	5.600	2.636	6.958
NR_003268	chr13	50464495	50469545	+	250.0	1	CTAGE10P|-|-|13q14.2|pseudo	0.960	0.000	0.105
NM_018141	chr6	42180599	42185649	-	250.0	1	MRPS10|MRP-S10|PNAS-122|-|6p21.1|protein-coding	5.820	2.425	5.904
NM_018998	chr9	139834190	139839240	-	250.0	1	FBXW5|Fbw5|-|9q34.3|protein-coding	1.559	1.898	22.455
NM_001005212	chr11	57791303	57796353	+	250.0	1	OR9Q1|-|-|11q12.1|protein-coding	1.000	0.000	0.000
NR_033796	chr12	6993796	6998846	+	250.0	1	DSTNP2|-|-|12p13.31|pseudo	1.855	0.316	2.108
NM_021186	chr1	238049222	238054272	-	250.0	1	ZP4|ZBP|ZP1|ZPB|Zp-4|-|1q43|protein-coding	1.000	0.000	0.000
NM_005834	chrX	48750426	48755476	-	250.0	1	TIMM17B|DXS9822|JM3|TIM17B|-|Xp11.23|protein-coding	0.998	0.843	16.235
NR_003655	chr7	44053793	44058843	-	250.0	1	POLR2J4|RPB11-phi|-|7p13|pseudo	13.060	2.952	2.003
NM_001004475	chr1	158364256	158369306	-	250.0	1	OR10T2|OR1-3|-|1q23.1|protein-coding	1.000	0.000	0.000
NR_125924	chr4	101111140	101116190	+	250.0	1	LOC101929353|-|-|4q24|ncRNA	1.662	0.105	0.211
NR_003349	chr15	25477484	25482534	+	250.0	1	SNORD115-34|HBII-52-34|-|15q11.2|snoRNA	1.000	0.000	0.000
NM_001017437	chr22	30752574	30757624	+	250.0	1	CCDC157|-|-|22q12.2|protein-coding	5.340	2.214	5.904
NM_016154	chr19	41284102	41289152	+	250.0	1	RAB4B|-|-|19q13.2|protein-coding	1.328	0.211	2.425
NR_110130	chr12	73552920	73557970	+	250.0	1	LINC02444|-|-|12q21.1|ncRNA	0.800	0.000	0.633
NM_014909	chr14	77227761	77232811	+	250.0	1	VASH1|KIAA1036|TTCP 1|-|14q24.3|protein-coding	2.656	1.370	8.328
NR_106952	chr7	143079729	143084779	+	250.0	1	MIR6892|hsa-mir-6892|-|7q34|ncRNA	3.611	2.108	9.382
NR_003671	chr8	37600564	37605614	-	250.0	1	LOC728024|-|-|8p11.23|pseudo	0.338	0.000	4.955
NR_038455	chr3	142645467	142650517	+	250.0	1	LOC100507389|-|-|3q23|ncRNA	1.000	0.000	0.000
NM_001252197	chr16	54965061	54970111	+	250.0	1	IRX5|HMMS|IRX-2a|IRXB2|-|16q12.2|protein-coding	1.357	0.211	2.319
NR_049847	chr18	37256635	37261685	+	250.0	1	MIR5583-1|-|-|18q12.3|ncRNA	0.527	0.105	6.114
NM_001368078	chr15	28623740	28628790	+	250.0	2	GOLGA8G|GOLGA8F|-|15q13.1|protein-coding	1.000	0.000	0.000
NM_003312	chr22	37410488	37415538	-	250.0	1	TST|RDS|-|22q12.3|protein-coding	3.800	3.373	15.181
NR_029973	chrX	151123184	151128234	-	250.0	1	MIR452|MIRN452|hsa-mir-452|mir-452|-|Xq28|ncRNA	1.000	0.000	0.000
NM_021010	chr8	6909261	6914311	-	250.0	1	DEFA5|DEF5|HD-5|-|8p23.1|protein-coding	1.000	0.000	0.000
NM_001009615	chrX	142798762	142803812	-	250.0	1	SPANXN2|CT11.7|SPANX-N2|-|Xq27.3|protein-coding	1.000	0.000	0.000
NM_001144831	chr12	7074827	7079877	-	250.0	1	PHB2|BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22|-|12p13.31|protein-coding	1.563	8.434	102.680
NM_002570	chr15	102024910	102029960	-	250.0	1	PCSK6|PACE4|SPC4|-|15q26.3|protein-coding	3.404	2.952	14.864
NM_016287	chr1	21108181	21113231	-	250.0	1	HP1BP3|HP1-BP74|HP1BP74|-|1p36.12|protein-coding	3.723	3.057	13.916
NR_135834	chr15	31508174	31513224	+	250.0	1	LINC02352|-|-|15q13.3|ncRNA	0.857	0.000	0.422
NM_001367947	chr13	103249286	103254336	+	250.0	1	TPP2|TPP-2|TPP-II|TPPII|-|13q33.1|protein-coding	12.253	2.425	1.476
NM_002350	chr8	56792344	56797394	+	250.0	1	LYN|JTK8|p53Lyn|p56Lyn|-|8q12.1|protein-coding	3.000	0.527	1.687
NM_176889	chr12	11145903	11150953	-	250.0	1	TAS2R20|T2R20|T2R49|T2R56|TAS2R49|-|12p13.2|protein-coding	0.545	0.000	2.108
NR_003078	chr20	2634808	2639858	+	250.0	1	SNORD110|HBII-55|-|20p13|snoRNA	11.736	600.476	980.095
NR_110012	chr2	38098006	38103056	-	250.0	1	LINC00211|NCRNA00211|-|2p22.2|ncRNA	1.000	0.000	0.000
NM_001441	chr1	46859939	46864989	+	250.0	1	FAAH|FAAH-1|PSAB|-|1p33|protein-coding	0.828	0.000	0.527
NM_007117	chr3	129693513	129698563	+	250.0	1	TRH|Pro-TRH|TRF|-|3q22.1|protein-coding	0.727	0.000	0.949
NM_001031618	chr7	102191629	102196679	+	250.0	2	SPDYE2|SPDYB2-L1|SPDYB2L1|-|7q22.1|protein-coding	2.205	0.316	1.370
NR_031570	chr2	25546590	25551640	-	250.0	1	MIR1301|MIRN1301|hsa-mir-1301|mir-1301|-|2p23.3|ncRNA	1.114	0.211	3.373
NM_171998	chrX	154488776	154493826	-	250.0	1	RAB39B|BGMR|MRX72|WSMN|WSN|-|Xq28|protein-coding	0.939	0.105	2.319
NR_003223	chr14	101458206	101463256	+	250.0	1	SNORD114-30|14q(II-30)|-|14q32.31|snoRNA	0.960	0.000	0.105
NM_177417	chr19	45843958	45849008	+	250.0	1	KLC3|KLC2|KLC2L|KLCt|KNS2B|-|19q13.32|protein-coding	0.676	0.633	19.187
NM_003841	chr8	22960277	22965327	+	250.0	1	TNFRSF10C|CD263|DCR1|DCR1-TNFR|LIT|TRAIL-R3|TRAILR3|TRID|-|8p21.3|protein-coding	0.857	0.000	0.422
NR_046232	chr8	96223602	96228652	-	250.0	1	LINC01298|C8orf69|-|8q22.1|ncRNA	1.000	0.000	0.000
NM_002015	chr13	41235778	41240828	-	250.0	1	FOXO1|FKH1|FKHR|FOXO1A|-|13q14.11|protein-coding	2.438	1.581	10.964
NM_001367549	chr3	194202731	194207781	-	250.0	1	ATP13A3|AFURS1|-|3q29|protein-coding	5.852	2.214	5.166
NM_005362	chrX	151933198	151938248	-	250.0	1	MAGEA3|CT1.3|HIP8|HYPD|MAGE3|MAGEA6|-|Xq28|protein-coding	1.000	0.000	0.000
NR_120415	chr13	111748135	111753185	+	250.0	1	LINC00368|-|-|13q34|ncRNA	1.000	0.000	0.000
NM_033624	chr12	117623275	117628325	-	250.0	1	FBXO21|FBX21|-|12q24.22|protein-coding	5.894	2.425	5.798
